Title,Author,ISBN,ISBN13,My Rating,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Entry
Murder in the San Juans,Shannon Work,,9781735435398,,2024/01/07,2024/01/07,read,read,murder in the San Juans Shannon Work
Pretty Baby,Mary Kubica,,9781460382288,,2024/01/08,2024/01/08,read,read,pretty baby Mary Kubica
Deadly summer,Denise Grover Swank,1542048214,9781542048217,,2024/01/09,2024/01/09,read,read,deadly summer Denise Grover Swank
Blazing summer,Denise Grover Swank,,9781503901803,,2024/01/11,2024/01/11,read,read,Blazing summer Denise Grover swank
Hide,Tracy Clark,,9781542037570,,2024/01/12,2024/01/12,read,read,Hide Tracy Clark
Fall,Tracy Clark,1662509529,9781662512551,,2024/01/13,2024/01/13,read,read,Fall Tracy Clark
Invisible,James Patterson,,9781473505551,,2024/01/16,2024/01/16,read,read,invisible James Patterson David Ellis
Unsolved,James Patterson,,9780316531573,,2024/01/17,2024/01/17,read,read,Unsolved James Patterson David Ellis
The Black Book,James Patterson,,9781455542673,,2024/01/18,2024/01/18,read,read,the black book James Patterson David Ellis
New Girl in the Falls,Elle Gray,,9798377230762,,2024/01/19,2024/01/19,read,read,New Girl in the falls Elle Gray
A Neighbor’s Lie,Blake Pierce,164029676X,9781640296763,,2024/01/21,2024/01/21,read,read,A neighbors lie Blake Pierce
Lovely Girls,Margot Hunt,1662504330,9781662504334,,2024/01/23,2024/01/23,read,read,Lovely Girls Margot Hunt
Lost Hills,Lee Goldberg,164358622X,9781643586229,,2024/01/24,2024/01/24,read,read,Lost Hills Lee Goldberg
Bone Canyon,Lee Goldberg,,9781542042710,,2024/01/26,2024/01/26,read,read,Bone canyon Lee Goldberg
Gated Prey,Lee Goldberg,,9781713601692,,2024/01/27,2024/01/27,read,read,Gated Prey Lee Goldberg
Missing in the Falls,Elle Gray,,9798390518663,,2024/01/28,2024/01/28,read,read,missing in the falls Elle Gray
Movieland,Lee Goldberg,,9781662500664,,2024/01/29,2024/01/29,read,read,Movieland Lee Goldberg
Dream town,Lee Goldberg,,9781662512353,,2024/01/31,2024/01/31,read,read,Dream Town Lee Goldberg
First Lie Wins,Ashley Elston,,9781472295323,,2024/02/01,2024/02/01,read,read,First Lie wins Ashley Elston
Rule Number One,Katherine Hastings,,9781949913385,,2024/02/02,2024/02/02,read,read,Rule number one Katherine Hastings
12 Months to Live,James Patterson,0316570648,9780316570640,,2024/02/03,2024/02/03,read,read,12 months to live James Patterson
Sleeping with Friends,Emily Schultz,1662513488,9781662513480,,2024/02/05,2024/02/05,read,read,sleeping with friends Emily Schultz
Mother-Daughter Murder Night,Nina Simon,0063379562,9780063379565,,2024/02/06,2024/02/06,read,read,mother-daughter murder night Nina Simon
Almost Surely Dead,Amina Akhtar,,9781662507588,,2024/02/07,2024/02/07,read,read,Almost surely dead Amina Akhtar
New Girl in the Falls,Elle Gray,,9798377230762,,2024/02/08,2024/02/08,read,read,the girls in the falls Elle Gray
The Other Emily,Dean Koontz,1713576694,9781542019941,,2024/02/10,2024/02/10,read,read,The other Emily Dean Koontz
Apples Never Fall,Liane Moriarty,0241396093,9781405942256,,2024/02/12,2024/02/12,read,read,Apples never Fall Liane Moriarty
The Secrets of Us,Lucinda Berry,1542027969,9781713563013,,2024/02/15,2024/02/15,read,read,The secrets of us Lucinda Berry
The Girl Who Survived,Lisa Jackson,171366786X,9781420146363,,2024/02/18,2024/02/18,read,read,The girl who survived Lisa Jackson
Blood in the water,Taylor Anderson,045147063X,9780451470645,,2024/02/20,2024/02/20,read,read,blood in the water Cara Kent
I'm watching you,Mary Burton,1420129066,9781420129069,,2024/02/21,2024/02/21,read,read,I’m watching you Teresa Driscoll
Last Night,Luanne Rice,,9798891640160,,2024/02/23,2024/02/23,read,read,Last night Luanne Rice
The Drowned Woman,CJ Lyons,,9781800191952,,2024/02/26,2024/02/26,read,read,The drowning woman Robyn Harding
Last day,Luanne Rice,,9781542016353,,2024/02/27,2024/02/27,read,read,Last day Luanne Rice
